;UTC;Temperature[C];Humidity[%];TVOC[ppb];eCO2[ppm];Raw H2;Raw Ethanol;Pressure[hPa];PM1.0;PM2.5;NC0.5;NC1.0;NC2.5;CNT;Fire Alarm
66;1654733397;20.935;51.66;18;413;12530;19635;939.762;0.13;0.47;0.04;0.541;0.33;66;0
187;1654733518;22.462;50.49;12;412;12594;19680;939.804;0.0;0.0;0.0;0.0;0.0;187;0
101;1654733432;21.401;55.16;20;408;12532;19621;939.775;0.09;0.29;0.17;0.332;0.189;101;0
194;1654733525;22.543;49.71;1;400;12597;19676;939.813;0.77;35431;13912;2.226;1.153;194;0
111;1654733442;21.531;56.42;11;409;12539;19627;939.803;0.03;0.1;0.06;0.117;0.067;111;0
121;1654733452;21.658;53.68;2;415;12558;19654;939.791;0.01;0.03;0.02;0.033;0.019;121;0
13;1654733344;20.19;51.39;0;400;12469;19317;939.758;0.74;45964;0.0;3.588;2.284;13;0
2;1654733333;20.029;55.96;0;400;12374;18764;939.738;0.0;0.0;0.0;0.0;0.0;2;0
64;1654733395;20.908;52.27;10;411;12534;19635;939.76;0.16;0.59;0.05;0.678;0.414;64;0
44;1654733375;20.631;55.49;0;400;12508;19581;939.762;0.03;0.12;0.03;0.138;0.083;44;0
136;1654733467;21.847;49.93;6;420;12566;19662;939.791;0.0;0.0;0.0;0.005;0.003;136;0
170;1654733501;22.262;56.43;2;400;12568;19662;939.815;0.0;0.0;0.0;0.0;0.0;170;0
128;1654733459;21.747;51.18;2;413;12565;19665;939.805;0.0;0.01;0.01;0.014;0.008;128;0
76;1654733407;45859;49.88;19;400;12528;19620;939.777;0.04;0.16;0.01;0.187;0.114;76;0
158;1654733489;22.117;54.59;29;417;12559;19641;939.813;0.0;0.0;0.0;0.004;0.002;158;0
167;1654733498;22.226;56.14;17;405;12571;19659;939.821;0.0;0.0;0.0;0.0;0.0;167;0
45;1654733376;20.645;55.86;8;404;12501;19574;939.754;0.03;0.09;0.02;0.1;0.06;45;0
130;1654733461;21.772;50.78;10;417;12565;19664;939.788;0.0;0.01;0.01;0.01;0.006;130;0
30;1654733361;20.434;50.68;16;435;12481;19509;939.772;0.14;0.5;0.12;0.569;0.34;30;0
3;1654733334;20.044;55.28;0;400;12390;18849;939.736;0.0;0.0;0.0;0.0;0.0;3;0
159;1654733490;22.13;54.83;21;420;12567;19645;939.81;0.0;0.0;0.0;0.002;0.001;159;0
15;1654733346;20.219;50.99;0;400;12475;19362;939.741;0.64;24139;0.0;3.077;1.959;15;0
42;1654733373;20.603;55.08;0;410;12497;19565;939.761;0.04;0.15;0.04;0.175;0.105;42;0
126;1654733457;21.722;51.72;10;415;12557;19654;939.802;0.0;0.01;0.01;0.016;0.009;126;0
186;1654733517;22.45;50.65;1;401;12598;19680;939.798;0.0;0.0;0.0;0.0;0.0;186;0
162;1654733493;22.166;55.46;12;415;12565;19639;939.791;0.0;0.0;0.0;0.0;0.0;162;0
47;1654733378;20.673;56.11;0;400;12507;19585;939.745;0.02;0.07;0.02;0.078;0.047;47;0
110;1654733441;21.518;56.37;6;400;12540;19632;939.8;0.04;0.11;0.06;0.127;0.072;110;0
5;1654733336;20.073;54.12;0;400;12419;18998;939.725;0.0;0.0;0.0;0.0;0.0;5;0
195;1654733526;22.554;49.63;6;401;12594;19673;939.81;0.75;33239;11355;2.158;1.117;195;0
37;1654733368;20.533;53.84;0;413;12498;19552;939.747;0.07;0.26;0.06;0.293;0.175;37;0
122;1654733453;21.671;53.18;2;404;12560;19659;939.792;0.01;0.02;0.01;0.028;0.016;122;0
12;1654733343;20.175;51.62;0;400;12467;19299;939.755;0.81;13940;0.0;3.909;2.488;12;0
36;1654733367;20.519;53.5;0;410;12491;19541;939.755;0.08;0.29;0.07;0.336;0.201;36;0
153;1654733484;22.057;53.02;20;430;12554;19644;939.815;0.1;0.27;0.29;0.307;0.162;153;0
69;1654733400;20.976;50.92;7;407;12536;19630;939.771;0.1;0.36;0.03;0.419;0.256;69;0
61;1654733392;20.867;53.6;11;415;12529;19625;939.734;0.23;0.83;0.07;0.95;0.579;61;0
196;1654733527;22.566;49.57;0;402;12596;19684;939.803;0.69;20821;23408;1.765;0.844;196;0
32;1654733363;20.462;51.77;11;440;12479;19515;939.762;0.12;0.42;0.1;0.487;0.291;32;0
172;1654733503;22.285;56.63;4;404;12579;19665;939.808;0.0;0.0;0.0;0.0;0.0;172;0
171;1654733502;22.273;56.53;5;404;12570;19659;939.808;0.0;0.0;0.0;0.0;0.0;171;0
60;1654733391;20.853;54.14;4;406;12536;19627;939.719;0.08;0.32;0.01;0.364;0.223;60;0
10;1654733341;20.146;52.15;0;400;12454;19230;939.757;0.89;25993;0.0;4.289;26696;10;0
144;1654733475;21.946;49.33;4;406;12565;19659;939.819;0.0;0.0;0.0;0.001;0.001;144;0
160;1654733491;22.142;55.03;20;420;12560;19641;939.794;0.0;0.0;0.0;0.001;0.0;160;0
52;1654733383;20.743;56.55;11;404;12512;19596;939.693;0.01;0.04;0.01;0.043;0.026;52;0
125;1654733456;21.709;52.01;2;413;12567;19661;939.804;0.01;0.02;0.01;0.02;0.011;125;0
106;1654733437;21.466;55.9;9;401;12543;19631;939.792;0.06;0.18;0.1;0.202;0.115;106;0
73;1654733404;45737;50.24;18;413;12532;19626;939.772;0.07;0.24;0.02;0.274;0.167;73;0
113;1654733444;21.556;56.62;13;401;12540;19626;939.809;0.03;0.08;0.05;0.092;0.052;113;0
105;1654733436;21.453;55.81;15;406;12530;19631;939.789;0.06;0.19;0.11;0.217;0.124;105;0
95;1654733426;21.323;53.65;23;419;12528;19619;939.799;0.22;0.69;0.39;0.788;0.449;95;0
103;1654733434;21.427;55.53;16;406;12537;19629;939.788;0.08;0.24;0.14;0.27;0.154;103;0
